embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2470.643143816692
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2470.8597680068597
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2471.670243426067
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2472.0084288062117
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2472.2714605564024
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2473.472647318026
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2474.1863507526677
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2475.2285394435976
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2475.82143495141
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2478.1434981183306
0.0,False,False,False,8,16,4,4,0.1,,gelu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2479.569502667683
0.0,False,False,False,8,16,4,4,0.2,,relu,"[171,100,50]",relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2480.1947021484375
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2480.3999470036206
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2480.7149568883383
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2483.1477765339177
0.0,False,False,False,8,16,4,4,0.2,,gelu,"[171,100,50]",relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2483.8635283679496
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2484.563166920732
0.0,False,False,False,8,16,4,4,0.2,,relu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2484.570860327744
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2486.2295636432927
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2486.267685308689
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.0005,128,0.0,Adam,CyclicLR,0.0005,0.01,25,10000.0,10.0,2486.825716344322
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2487.681074933308
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2491.7674084174923
0.0,False,False,False,8,16,4,4,0.2,,gelu,"[171,100,50]",relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2493.876551186166
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2493.889657369474
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2494.473138576601
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2494.5989007717226
