mlp_hidden_dims,mlp_activation,mlp_dropout,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,embed_dropout,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
auto,relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2349.438339605564
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2349.6520102896343
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2349.821131264291
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2350.2856296446266
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2351.517947313262
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2352.0725633574693
"[100,50]",relu,0.2,False,False,False,0.0,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2352.4943033854165
"[100,50]",leaky_relu,0.2,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2352.683495498285
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2353.5553752620044
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2354.3746337890625
"[200, 100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2354.686964081555
"[200, 100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2355.703640077172
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2357.007303377477
"[100,50]",relu,0.2,False,False,False,0.0,0.001,64,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2357.070779195646
"[200, 100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2357.146794016768
"[100,50]",relu,0.4,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2358.803466796875
"[100,50]",relu,0.1,False,False,False,0.1,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2358.9530297256097
"[100,50]",relu,0.2,False,False,False,0.0,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2359.3570080268673
"[100,50]",leaky_relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2361.7076326695883
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2363.4059701314786
"[100,50]",relu,0.2,False,False,False,0.0,0.0005,128,0.0,Adam,CyclicLR,0.0005,0.01,25,10000.0,10.0,2363.518819669398
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2363.962997808689
"[100,50]",relu,0.2,True,False,False,0.0,0.001,1024,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2364.2462565104165
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2365.2934004620806
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2365.3924679639863
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2366.582343869093
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2367.311041110899
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2367.3217148199315
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2367.490008098323
"[100,50]",relu,0.2,False,True,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2368.286144721799
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2370.9943698790016
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2371.1862257050307
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2372.2898872189407
auto,relu,0.2,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2376.1712438071645
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2376.628888386052
"[100,50]",relu,0.2,True,False,False,0.0,0.001,64,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2377.1984290146247
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2378.8201785203887
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2379.533700338224
"[100,50]",relu,0.2,True,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2380.111426376715
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2380.249392625762
"[100,50]",relu,0.2,True,False,False,0.0,0.001,64,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2382.5036613650436
"[100,50]",relu,0.2,False,False,False,0.0,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2383.8100615710746
"[100,50]",relu,0.2,False,False,True,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2385.6644763481327
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2388.7170112423782
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2390.7141262147484
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2391.341784965701
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2392.5264892578125
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2395.5942948504194
auto,relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2397.5698956745427
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2399.354667849657
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2401.1699754668443
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2406.437434498857
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2410.6878275057165
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2416.358577076982
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2416.669314500762
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2423.7120629287347
auto,relu,0.4,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2442.4238698075455
auto,relu,0.4,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2486.5768626143295
"[100,50]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2497.1596530821266
