model,rmse,runtime,best_epoch_or_ntrees
lightgbm,51.06105765796598,0.7998499870300293,31.0
tabnet,52.61288246856915,901.6364574993358,39.0
tabmlp,52.665999933816124,167.26591768497374,12.0
tabtransformer,52.77810346143987,163.06158015894334,14.0
tabresnet,52.85826654427381,15.078622198104858,1.0
