model,rmse,runtime,best_epoch_or_ntrees
lightgbm,262.70986493926154,42.72113609313965,504.0
tabmlp,271.3422175068161,568.4309234619141,24.0
tabresnet,292.89079183759566,471.26498265536327,24.0
tabtransformer,336.5825541948277,5779.03136709512,54.0
tabnet,376.0530038078403,1844.4722886248069,15.0
